journal
International Journal of Spa and Wellness
International Journal of Sport and Exercise Psychology
International Journal of Testing
International Journal of Transgenderism
International Journal of Veterinary Science and Medicine
International Review of Sport and Exercise Psychology
Journal for the Study of Education and Development
Journal of Addictive Diseases
"Journal of Aggression, Maltreatment & Trauma"
Journal of Aging & Social Policy
Journal of American College Health
Journal of Applied Animal Welfare Science
Journal of Applied School Psychology
Journal of Applied Sport Psychology
Journal of Behavioral Finance
Journal of Bisexuality
Journal of Change Management
Journal of Child & Adolescent Mental Health
Journal of Child & Adolescent Substance Abuse
Journal of Child & Adolescent Trauma
Journal of Child and Adolescent Counseling
Journal of Child Psychotherapy
Journal of Child Sexual Abuse
Journal of Clinical and Experimental Neuropsychology
Journal of Clinical Child & Adolescent Psychology
Journal of Cognition and Development
Journal of Cognitive Psychology
Journal of College Student Psychotherapy
Journal of Constructivist Psychology
Journal of Counselor Leadership and Advocacy
Journal of Couple & Relationship Therapy
Journal of Creativity in Mental Health
Journal of Divorce & Remarriage
Journal of Dual Diagnosis
Journal of Elder Abuse & Neglect
Journal of Evidence-Informed Social Work
Journal of Experimental & Theoretical Artificial Intelligence
Journal of Family Communication
Journal of Family Psychotherapy
Journal of Family Studies
Journal of Feminist Family Therapy
Journal of Forensic Psychology Practice
Journal of Gay & Lesbian Mental Health
Journal of Gay & Lesbian Social Services
Journal of Gerontological Social Work
Journal of GLBT Family Studies
Journal of Groups in Addiction & Recovery
Journal of Health Care Chaplaincy
Journal of HIV/AIDS & Social Services
Journal of Homosexuality
Journal of Human Behavior in the Social Environment
"Journal of Infant, Child, and Adolescent Psychotherapy"
Journal of Intergenerational Relationships
Journal of Leisure Research
Journal of Lesbian Studies
Journal of LGBT Issues in Counseling
Journal of LGBT Youth
Journal of Loss and Trauma
Journal of Mental Health
Journal of Mental Health Research in Intellectual Disabilities
Journal of Motor Behavior
Journal of Neurotherapy
Journal of Nutrition in Gerontology and Geriatrics
Journal of Occupational Science
"Journal of Occupational Therapy, Schools, & Early Intervention"
Journal of Organizational Behavior Management
Journal of Personality Assessment
Journal of Poetry Therapy
"Journal of Professional Counseling: Practice, Theory & Research"
Journal of Psychoactive Drugs
Journal of Psychology in Africa
Journal of Psychosocial Oncology
"Journal of Religion, Spirituality & Aging"
Journal of Reproductive and Infant Psychology
Journal of Russian & East European Psychology
Journal of School Violence
Journal of Sex & Marital Therapy
Journal of Sexual Aggression
Journal of Social Distress and Homelessness
Journal of Social Work in Disability & Rehabilitation
Journal of Social Work in End-of-Life & Palliative Care
Journal of Social Work Practice
Journal of Social Work Practice in the Addictions
Journal of Spirituality in Mental Health
Journal of Sport Psychology in Action
Journal of Sports Sciences
Journal of the History of the Neurosciences
Journal of Trauma & Dissociation
Journal of Trust Research
Journal of Women & Aging
Journal of Workplace Behavioral Health
Jung Journal
Language Acquisition
Language Learning and Development
"Language, Cognition and Neuroscience"
Laterality
Learning: Research and Practice
Marriage & Family Review
Measurement: Interdisciplinary Research and Perspectives
Media Psychology
Memory
"Mental Health, Religion & Culture"
Metaphor and Symbol
Military Behavioral Health
Military Psychology
Mortality
Multivariate Behavioral Research
Neurocase
Neuropsychoanalysis
Neuropsychological Rehabilitation
Nordic Journal of Music Therapy
Nordic Psychology
Nutritional Neuroscience
Occupational Therapy in Mental Health
Parenting
Person-Centered & Experiential Psychotherapies
Philosophical Psychology
Psychiatry
Psychiatry and Clinical Psychopharmacology
"Psychiatry, Psychology and Law"
Psychoanalytic Dialogues
Psychoanalytic Inquiry
Psychoanalytic Perspectives
Psychoanalytic Psychotherapy
Psychoanalytic Social Work
Psychodynamic Practice
Psychological Inquiry
Psychological Perspectives
Psychology & Health
Psychology & Sexuality
"Psychology, Crime & Law"
"Psychology, Health & Medicine"
Psychosis
Psychotherapy Research
PsyEcology
Qualitative Research in Psychology
"Qualitative Research in Sport, Exercise and Health"
Quest
"Religion, Brain & Behavior"
Research in Human Development
Research in Sports Medicine
Research on Language and Social Interaction
Residential Treatment for Children & Youth
SAHARA-J: Journal of Social Aspects of HIV/AIDS
School Psychology Review
Science and Medicine in Football
Self and Identity
Sexual Addiction & Compulsivity
Sexual and Relationship Therapy
Social Influence
Social Neuroscience
Social Work in Mental Health
Social Work with Groups
Socioaffective Neuroscience & Psychology
Spatial Cognition & Computation
"Speech, Language and Hearing"
"Stress, Trauma, and Crisis"
Structural Equation Modeling: A Multidisciplinary Journal
Studies in Chinese Religions
Studies in Gender and Sexuality
Studies in Psychology
Substance Abuse
Theoretical Issues in Ergonomics Science
Thinking & Reasoning
Time and Mind
Transactional Analysis Journal
Translational Developmental Psychiatry
Visual Cognition
Vulnerable Children and Youth Studies
Women & Criminal Justice
Women & Therapy
Women's Reproductive Health
Work & Stress
Writing Systems Research
